Time,rri
1.0522461,607.42188
1.3022461,907.9937
1.5522461,1066.6065
1.8022461,1121.9473
2.0522461,1112.703
2.3022461,1077.5379
2.5522461,1044.0234
2.8022461,1010.8713
3.0522461,974.31345
3.3022461,932.60057
3.5522461,884.05864
3.8022461,827.73854
4.0522461,766.4699
4.3022461,704.31008
4.5522461,646.38471
4.8022461,601.22198
5.0522461,576.89084
5.3022461,570.09825
5.5522461,571.12225
5.8022461,573.92397
6.0522461,577.00813
6.3022461,579.40872
6.5522461,580.88017
6.8022461,581.35531
7.0522461,581.16677
7.3022461,580.82794
7.5522461,580.8531
7.8022461,581.66214
8.0522461,583.18299
8.3022461,585.18378
8.5522461,587.53202
8.8022461,593.4685
9.0522461,610.35017
9.3022461,640.84852
9.5522461,667.25914
9.8022461,679.37892
10.052246,680.18862
10.302246,673.32151
10.552246,662.9539
10.802246,653.51557
11.052246,647.76862
11.302246,644.30683
11.552246,641.18248
11.802246,637.99422
12.052246,635.48592
12.302246,633.93807
12.552246,633.44803
12.802246,634.11289
13.052246,636.02954
13.302246,639.17235
13.552246,643.20061
13.802246,648.53729
14.052246,656.93158
14.302246,669.50126
14.552246,678.83814
14.802246,672.13769
15.052246,641.02738
15.302246,595.96045
15.552246,551.65571
15.802246,520.87916
16.052246,511.71457
16.302246,515.30681
16.552246,521.18504
16.802246,530.94866
17.052246,548.35988
17.302246,567.05504
17.552246,579.89934
17.802246,587.38331
18.052246,590.95254
18.302246,592.05262
18.552246,592.12913
18.802246,592.62544
19.052246,594.43074
19.302246,597.15353
19.552246,600.22195
19.802246,603.06416
20.052246,605.10831
20.302246,605.78255
20.552246,604.51504
20.802246,600.37172
21.052246,589.95577
21.302246,569.18099
21.552246,541.6145
21.802246,518.29673
22.052246,504.86126
22.302246,499.42244
22.552246,499.58505
22.802246,502.9539
23.052246,507.45979
23.302246,512.18006
23.552246,516.59384
23.802246,520.79025
24.052246,525.0136
24.302246,529.50823
24.552246,534.51846
24.802246,540.1418
25.052246,545.52535
25.302246,549.43775
25.552246,550.64664
25.802246,547.921
26.052246,540.20608
26.302246,526.79985
26.552246,507.82238
26.802246,485.54955
27.052246,462.74257
27.302246,448.46425
27.552246,459.66919
27.802246,486.18726
28.052246,494.98452
28.302246,480.25578
28.552246,459.31569
28.802246,450.08021
29.052246,468.38816
29.302246,526.69924
29.552246,612.26317
29.802246,689.29855
30.052246,724.14377
30.302246,712.27832
30.552246,666.16738
30.802246,605.04709
31.052246,552.79821
31.302246,522.37348
31.552246,510.082
31.802246,510.85463
32.052246,519.62223
32.302246,531.5272
32.552246,545.19676
32.802246,562.06685
33.052246,581.20206
33.302246,598.06014
33.552246,608.6469
33.802246,612.75121
34.052246,611.23128
34.302246,605.15124
34.552246,596.96612
34.802246,589.50853
35.052246,583.48851
35.302246,578.32666
35.552246,573.42546
35.802246,568.1874
36.052246,562.03025
36.302246,554.82395
36.552246,546.95466
36.802246,538.83675
37.052246,530.94293
37.302246,524.41635
37.552246,520.75073
37.802246,520.17836
38.052246,521.90267
38.302246,525.09741
38.552246,528.93633
38.802246,532.59316
39.052246,535.41943
39.302246,537.63498
39.552246,539.72435
39.802246,542.17216
40.052246,545.463
40.302246,550.08147
40.552246,556.50814
40.802246,564.35579
41.052246,571.29683
41.302246,575.18042
41.552246,576.14895
41.802246,575.08969
42.052246,572.89028
42.302246,570.43839
42.552246,568.45273
42.802246,566.3829
43.052246,563.10156
43.302246,557.47844
43.552246,548.63261
43.802246,538.92064
44.052246,532.77884
44.302246,530.42126
44.552246,527.74963
44.802246,520.57883
45.052246,516.18015
45.302246,543.46067
45.552246,604.95548
45.802246,650.23804
46.052246,675.97741
46.302246,686.19439
46.552246,684.90978
46.802246,676.1444
47.052246,663.91904
47.302246,652.25451
47.552246,645.17161
47.802246,646.51633
48.052246,653.50802
48.302246,654.85449
48.552246,640.36158
48.802246,612.44249
49.052246,579.31003
49.302246,549.38585
49.552246,531.27482
49.802246,530.11515
50.052246,544.80185
50.302246,569.80952
50.552246,588.71002
50.802246,585.84078
51.052246,569.40614
51.302246,559.428
51.552246,563.5568
51.802246,576.90363
52.052246,593.99981
52.302246,608.91898
52.552246,615.37753
52.802246,608.8261
53.052246,589.45247
53.302246,560.15232
53.552246,538.1787
53.802246,543.79486
54.052246,558.14246
54.302246,567.22358
54.552246,572.23477
54.802246,574.45371
55.052246,575.15808
55.302246,575.62556
55.552246,577.13384
55.802246,580.96059
56.052246,588.38051
56.302246,598.1972
56.552246,602.27033
56.802246,592.39666
57.052246,571.6277
57.302246,549.10783
57.552246,526.70301
57.802246,499.15476
58.052246,483.49738
58.302246,521.86584
58.552246,593.34941
58.802246,602.45411
59.052246,499.35864
59.302246,415.40686
59.552246,428.79776
59.802246,463.65589
60.052246,478.4909
60.302246,479.59245
60.552246,483.40547
