Time,rri
1.1274414,997.07031
1.3774414,992.41237
1.6274414,1004.1378
1.8774414,1026.4357
2.1274414,1053.4951
2.3774414,1079.5051
2.6274414,1098.6547
2.8774414,1105.1329
3.1274414,1093.129
3.3774414,1057.213
3.6274414,1003.0018
3.8774414,948.59649
4.1274414,912.76841
4.3774414,911.17464
4.6274414,937.49555
4.8774414,975.95381
5.1274414,1010.7353
5.3774414,1027.5388
5.6274414,1025.406
5.8774414,1010.3225
6.1274414,988.33355
6.3774414,965.02798
6.6274414,942.73375
6.8774414,922.35995
7.1274414,904.81359
7.3774414,892.06156
7.6274414,888.5745
7.8774414,899.18455
8.1274414,928.35307
8.3774414,973.39586
8.6274414,1025.1758
8.8774414,1074.3238
9.1274414,1111.4739
9.3774414,1130.4809
9.6274414,1134.6187
9.8774414,1128.874
10.127441,1118.2332
10.377441,1107.3658
10.627441,1096.9977
10.877441,1085.1841
11.127441,1069.9297
11.377441,1049.2994
11.627441,1023.5161
11.877441,995.50397
12.127441,968.35807
12.377441,945.04046
12.627441,926.37672
12.877441,911.46819
13.127441,899.367
13.377441,889.12528
13.627441,879.79517
13.877441,870.42881
14.127441,860.11773
14.377441,848.68145
14.627441,836.58037
14.877441,824.29675
15.127441,812.31287
15.377441,801.111
15.627441,791.10947
15.877441,782.30496
16.127441,774.52343
16.377441,767.59034
16.627441,761.33116
16.877441,755.57357
17.127441,750.29765
17.377441,745.73197
17.627441,742.12799
17.877441,739.73715
18.127441,738.8109
18.377441,739.45194
18.627441,741.19856
18.877441,743.45759
19.127441,745.85491
19.377441,748.407
19.627441,751.17071
19.877441,754.20292
20.127441,757.56046
20.377441,761.30021
20.627441,765.47901
20.877441,770.1577
21.127441,775.57113
21.377441,782.1918
21.627441,790.50938
21.877441,801.01351
22.127441,814.19385
22.377441,830.32998
22.627441,848.8363
22.877441,868.90449
23.127441,889.71067
23.377441,910.01984
23.627441,928.15312
23.877441,942.40958
24.127441,951.26471
24.377441,955.09733
24.627441,955.44757
24.877441,953.8721
25.127441,951.79948
25.377441,949.90561
25.627441,948.59238
25.877441,948.26119
26.127441,949.00036
26.377441,949.91204
26.627441,949.9046
26.877441,947.8955
27.127441,943.59466
27.377441,938.1103
27.627441,932.69326
27.877441,928.54218
28.127441,925.94547
28.377441,924.4184
28.627441,923.45166
28.877441,922.32114
29.127441,919.02538
29.377441,911.09265
29.627441,896.08211
29.877441,874.84437
30.127441,854.35486
30.377441,842.25669
30.627441,844.34736
30.877441,856.39399
31.127441,870.77254
31.377441,879.95724
31.627441,880.62163
31.877441,875.05951
32.127441,865.9574
32.377441,855.95906
32.627441,847.49564
32.877441,842.93235
33.127441,844.44231
33.377441,850.76613
33.627441,857.68383
33.877441,860.88122
34.127441,858.73739
34.377441,857.32981
34.627441,864.10259
34.877441,885.69683
35.127441,918.1709
35.377441,950.11247
35.627441,969.95232
35.877441,967.74107
36.127441,947.81331
