Time,rri
1.0004883,792.96875
1.2504883,826.02509
1.5004883,849.34958
1.7504883,864.42637
2.0004883,872.73961
2.2504883,875.77346
2.5004883,875.01207
2.7504883,871.93958
3.0004883,867.97525
3.2504883,864.30467
3.5004883,862.06087
3.7504883,862.30407
4.0004883,864.95094
4.2504883,869.00937
4.5004883,873.46226
4.7504883,877.45868
5.0004883,880.64768
5.2504883,882.77196
5.5004883,883.60313
5.7504883,883.417
6.0004883,882.91766
6.2504883,882.82277
6.5004883,883.29283
6.7504883,882.45892
7.0004883,877.99021
7.2504883,867.76511
7.5004883,853.76486
7.7504883,841.71385
8.0004883,837.46145
8.2504883,843.72647
8.5004883,855.95342
8.7504883,868.55603
9.0004883,876.51311
9.2504883,880.65343
9.5004883,885.26417
9.7504883,894.67387
10.000488,910.68415
10.250488,928.15468
10.500488,940.76354
10.750488,942.29512
11.000488,932.07726
11.250488,917.58037
11.500488,906.92524
11.750488,907.35604
12.000488,917.96869
12.250488,933.43331
12.500488,948.37601
12.750488,958.39105
13.000488,963.80164
13.250488,966.37254
13.500488,967.86878
13.750488,969.60337
14.000488,971.38926
14.250488,972.72862
14.500488,973.12399
14.750488,972.19074
15.000488,969.81837
15.250488,965.93717
15.500488,960.47809
15.750488,953.4147
16.000488,944.78904
16.250488,934.6493
16.500488,923.12241
16.750488,911.51515
17.000488,902.0435
17.250488,896.94686
17.500488,897.83796
17.750488,903.90932
18.000488,913.76934
18.250488,926.02951
18.500488,939.49998
18.750488,953.30649
19.000488,966.60284
19.250488,978.5375
19.500488,988.08519
19.750488,994.01176
20.000488,995.07071
20.250488,990.05599
20.500488,978.91133
20.750488,962.86666
21.000488,943.21977
21.250488,921.22958
21.500488,897.76564
21.750488,873.47339
22.000488,848.99843
22.250488,825.23819
22.500488,803.53454
22.750488,785.27346
23.000488,771.49395
23.250488,762.40616
23.500488,758.09906
23.750488,758.66163
24.000488,764.18285
24.250488,774.75409
24.500488,790.71814
24.750488,812.8882
25.000488,842.12906
25.250488,878.63394
25.500488,918.72098
25.750488,957.3215
26.000488,989.36507
26.250488,1010.9114
26.500488,1023.912
26.750488,1032.2315
27.000488,1039.736
27.250488,1049.8714
27.500488,1062.3566
27.750488,1074.9599
28.000488,1085.4329
28.250488,1091.5537
28.500488,1092.2426
28.750488,1087.9637
29.000488,1079.2907
29.250488,1066.7978
29.500488,1051.4333
29.750488,1035.2214
30.000488,1020.3782
30.250488,1009.1197
30.500488,1002.807
30.750488,1000.0449
31.000488,998.88399
31.250488,997.37494
31.500488,994.01529
31.750488,988.70218
32.000488,981.60606
32.250488,972.89906
32.500488,963.18988
32.750488,954.1074
33.000488,947.42593
33.250488,944.86609
33.500488,946.0899
33.750488,948.10156
34.000488,947.72932
34.250488,942.09011
34.500488,932.33977
34.750488,922.60557
35.000488,917.08368
35.250488,918.95473
35.500488,926.66762
35.750488,937.2942
36.000488,947.90989
36.250488,956.89201
36.500488,965.83304
36.750488,976.81309
37.000488,991.90117
37.250488,1011.1106
37.500488,1030.0066
37.750488,1043.5731
38.000488,1046.7943
38.250488,1036.2699
38.500488,1014.6235
38.750488,985.88244
39.000488,954.07512
39.250488,923.53497
39.500488,899.30799
39.750488,886.54176
40.000488,889.87404
40.250488,907.41883
40.500488,932.77914
40.750488,959.468
41.000488,981.52139
41.250488,997.0819
41.500488,1006.2317
41.750488,1009.0643
42.000488,1005.8157
42.250488,997.97819
42.500488,987.69735
42.750488,977.12461
43.000488,968.131
43.250488,960.78353
43.500488,954.43487
43.750488,948.43588
44.000488,942.2782
44.250488,935.93993
44.500488,929.5042
44.750488,923.0486
45.000488,916.35061
45.250488,908.73999
45.500488,899.50992
45.750488,888.25593
46.000488,877.12101
46.250488,869.52502
46.500488,868.86471
46.750488,875.72358
47.000488,885.74737
47.250488,894.0816
47.500488,896.5981
47.750488,896.53549
48.000488,901.41912
48.250488,918.82744
48.500488,953.32201
48.750488,998.53968
49.000488,1045.6453
49.250488,1085.8035
49.500488,1110.7959
49.750488,1120.1249
50.000488,1118.5494
50.250488,1110.9291
50.500488,1102.1125
50.750488,1095.2967
51.000488,1090.2944
51.250488,1086.5031
51.500488,1083.3206
51.750488,1080.1328
52.000488,1076.262
52.250488,1071.0091
52.500488,1063.6749
52.750488,1053.7184
53.000488,1042.5115
53.250488,1032.6942
53.500488,1026.9298
53.750488,1027.7114
54.000488,1034.4222
54.250488,1043.7212
54.500488,1052.1755
54.750488,1056.374
55.000488,1054.2721
55.250488,1045.9728
55.500488,1031.7674
55.750488,1011.957
56.000488,987.93425
56.250488,963.16698
56.500488,941.35525
56.750488,926.04309
57.000488,917.57901
57.250488,913.32096
57.500488,910.51178
57.750488,906.99906
58.000488,904.05723
58.250488,904.16643
58.500488,909.79293
58.750488,921.63104
59.000488,936.97039
59.250488,952.71452
59.500488,965.83194
59.750488,975.67298
60.000488,984.60047
60.250488,995.17055
60.500488,1009.8735
60.750488,1028.5834
61.000488,1047.7443
61.250488,1063.5677
61.500488,1072.2669
61.750488,1071.6915
62.000488,1064.423
62.250488,1053.8928
62.500488,1043.5323
62.750488,1036.1148
63.000488,1031.2364
63.250488,1027.5359
63.500488,1023.6519
63.750488,1018.4006
64.000488,1011.7343
64.250488,1004.0524
64.500488,995.75565
64.750488,987.11975
65.000488,977.67349
65.250488,966.66909
65.500488,953.35839
65.750488,937.59186
66.000488,921.277
66.250488,906.7628
66.500488,896.31932
66.750488,889.88239
67.000488,884.72263
67.250488,877.96524
67.500488,867.63799
67.750488,856.09999
68.000488,847.00795
68.250488,843.8061
68.500488,846.20004
68.750488,850.70344
69.000488,853.73097
69.250488,853.33744
69.500488,851.83694
69.750488,852.226
70.000488,857.06401
70.250488,864.90095
70.500488,872.13209
70.750488,875.14452
71.000488,872.09769
71.250488,864.74471
71.500488,855.2735
71.750488,846.05719
72.000488,840.75165
72.250488,843.5557
72.500488,858.53816
72.750488,885.14286
73.000488,917.08269
73.250488,947.71416
73.500488,970.70398
73.750488,984.66765
74.000488,992.19403
74.250488,995.98413
74.500488,998.64094
74.750488,1001.2758
75.000488,1003.8387
75.250488,1006.2489
75.500488,1008.4259
75.750488,1010.3037
76.000488,1011.8511
76.250488,1013.0424
76.500488,1013.8516
76.750488,1014.2524
77.000488,1014.2131
77.250488,1013.6991
77.500488,1012.6755
77.750488,1011.1074
78.000488,1008.9395
78.250488,1006.0452
78.500488,1002.2831
78.750488,997.51171
79.000488,991.59299
79.250488,984.42328
79.500488,975.91899
79.750488,965.99677
80.000488,954.56419
80.250488,941.47118
80.500488,926.54507
80.750488,909.61762
81.000488,891.53294
81.250488,875.42364
81.500488,864.73668
81.750488,862.48886
82.000488,867.85372
82.250488,877.98306
82.500488,890.01058
82.750488,901.05258
83.000488,908.18561
83.250488,908.48067
83.500488,899.28925
83.750488,882.73434
84.000488,864.9302
84.250488,852.10755
84.500488,847.86227
84.750488,849.09943
85.000488,851.67786
85.250488,852.00501
85.500488,851.32607
85.750488,853.40399
86.000488,861.98389
86.250488,878.04408
86.500488,898.02815
86.750488,917.95939
87.000488,934.07629
87.250488,945.67428
87.500488,954.32115
87.750488,961.63863
88.000488,969.06371
88.250488,976.47679
88.500488,982.97802
88.750488,987.66171
89.000488,989.71277
89.250488,988.97157
89.500488,985.56681
89.750488,979.62848
90.000488,971.28652
90.250488,960.6709
90.500488,947.91159
90.750488,933.26914
91.000488,918.76391
91.250488,907.67796
91.500488,903.32088
91.750488,907.80864
92.000488,918.67455
92.250488,932.35235
92.500488,945.28406
92.750488,954.97929
93.000488,961.05467
93.250488,963.37372
93.500488,961.80023
93.750488,956.21053
94.000488,946.49754
94.250488,932.55532
94.500488,914.53069
94.750488,895.33557
95.000488,879.58675
95.250488,871.91468
95.500488,874.31094
95.750488,882.76879
96.000488,892.45239
96.250488,898.80738
96.500488,901.30801
96.750488,902.43856
97.000488,904.75565
97.250488,910.31192
97.500488,919.09631
97.750488,930.56955
98.000488,944.19077
98.250488,959.16906
98.500488,974.19831
98.750488,987.90889
99.000488,998.92895
99.250488,1005.6001
99.500488,1005.695
99.750488,996.9196
100.00049,977.03078
100.25049,947.60201
100.50049,916.59473
100.75049,892.57905
101.00049,883.11034
101.25049,886.91201
101.50049,898.15994
101.75049,910.99394
102.00049,921.05676
102.25049,928.31172
102.50049,933.4937
102.75049,937.33777
103.00049,940.58715
103.25049,943.9966
103.50049,948.32174
103.75049,954.24711
104.00049,961.22776
104.25049,967.67978
104.50049,971.98657
104.75049,972.67947
105.00049,969.96547
105.25049,965.11214
105.50049,959.40383
105.75049,953.80245
106.00049,947.16984
106.25049,937.52682
106.50049,922.89495
106.75049,902.91851
107.00049,881.55138
107.25049,863.45487
107.50049,852.87392
107.75049,849.77221
108.00049,851.59573
108.25049,855.77029
108.50049,860.79872
108.75049,867.09427
109.00049,875.26634
109.25049,885.82427
109.50049,898.47137
109.75049,912.52188
110.00049,927.28758
110.25049,942.13306
110.50049,956.59526
110.75049,970.24622
111.00049,982.65778
111.25049,993.32595
111.50049,1001.5486
111.75049,1006.5915
112.00049,1007.7212
112.25049,1004.7238
112.50049,998.87076
112.75049,991.6973
113.00049,984.73657
113.25049,978.86733
113.50049,973.37894
113.75049,967.3241
114.00049,959.77311
114.25049,950.95779
114.50049,942.97413
114.75049,938.08619
115.00049,938.41734
115.25049,943.71704
115.50049,951.75921
115.75049,960.25759
116.00049,967.10726
116.25049,971.94594
116.50049,975.38334
116.75049,978.03976
117.00049,980.4845
117.25049,982.91804
117.50049,985.3786
117.75049,987.90369
118.00049,990.32812
118.25049,991.22148
118.50049,988.66613
118.75049,980.74343
119.00049,966.38855
119.25049,948.707
119.50049,932.0756
119.75049,920.85097
120.00049,916.70814
120.25049,916.00086
120.50049,914.45543
120.75049,908.06814
121.00049,897.00944
121.25049,884.73309
121.50049,874.78077
121.75049,869.46781
122.00049,867.35546
122.25049,866.28908
122.50049,864.27651
122.75049,861.51491
123.00049,859.77117
123.25049,860.84401
123.50049,865.92593
123.75049,874.8007
124.00049,887.05248
124.25049,902.23265
124.50049,919.43074
124.75049,937.39475
125.00049,954.86464
125.25049,970.58945
125.50049,983.38945
125.75049,992.11852
126.00049,995.63078
126.25049,993.0214
126.50049,985.17395
126.75049,973.7762
127.00049,960.51977
127.25049,946.91186
127.50049,933.6253
127.75049,921.09705
128.00049,909.77245
128.25049,900.71188
128.50049,895.99974
128.75049,897.81734
129.00049,907.95361
129.25049,924.24473
129.50049,942.23883
129.75049,957.45613
130.00049,966.28113
130.25049,970.20681
130.50049,972.59618
130.75049,976.81504
131.00049,985.21079
131.25049,995.57707
131.50049,1004.4352
131.75049,1008.3066
132.00049,1004.5979
132.25049,995.09302
132.50049,982.92537
132.75049,971.22876
133.00049,962.22424
133.25049,954.92257
133.50049,947.62911
133.75049,938.66527
134.00049,927.85664
134.25049,917.73984
134.50049,911.13549
134.75049,910.58268
135.00049,914.96467
135.25049,920.6105
135.50049,923.79693
135.75049,921.65479
136.00049,915.38922
136.25049,907.41893
136.50049,900.14361
136.75049,894.79815
137.00049,890.80577
137.25049,887.43312
137.50049,884.15334
137.75049,882.04063
138.00049,882.9172
138.25049,888.60065
138.50049,899.70322
138.75049,914.41947
139.00049,930.65512
139.25049,946.35537
139.50049,960.45197
139.75049,972.90957
140.00049,983.74151
140.25049,992.96201
140.50049,1000.6028
140.75049,1006.7117
141.00049,1011.3374
141.25049,1014.5311
141.50049,1016.4143
141.75049,1017.1828
142.00049,1017.0362
142.25049,1016.161
142.50049,1014.2581
142.75049,1010.4143
143.00049,1003.6774
143.25049,993.14413
143.50049,979.63892
143.75049,966.12676
144.00049,955.70578
144.25049,951.18788
144.50049,951.19393
144.75049,951.16463
145.00049,946.4615
145.25049,933.32038
145.50049,913.92238
145.75049,892.92373
146.00049,874.95768
146.25049,862.37294
146.50049,853.71443
146.75049,847.16711
147.00049,841.05904
147.25049,834.44684
147.50049,826.61834
147.75049,817.02986
148.00049,807.40667
148.25049,801.10081
148.50049,801.38862
148.75049,807.81737
149.00049,815.40716
149.25049,818.9112
149.50049,815.61517
149.75049,809.30796
150.00049,804.80783
150.25049,806.25812
150.50049,814.48615
150.75049,829.30252
151.00049,850.44287
151.25049,876.44169
151.50049,904.86414
151.75049,933.24772
152.00049,959.15945
152.25049,981.11524
152.50049,998.75969
152.75049,1011.8032
153.00049,1019.9589
