Time,rri
0.8671875,677.73438
1.1171875,682.72983
1.3671875,686.31947
1.6171875,689.12988
1.8671875,691.78765
2.1171875,694.91936
2.3671875,699.1516
2.6171875,705.04447
2.8671875,711.99914
3.1171875,718.45828
3.3671875,723.7824
3.6171875,728.53244
3.8671875,733.29381
4.1171875,737.36159
4.3671875,738.6937
4.6171875,735.38743
4.8671875,729.48759
5.1171875,726.6404
5.3671875,731.94893
5.6171875,741.35047
5.8671875,744.17673
6.1171875,730.85086
6.3671875,706.6304
6.6171875,686.56205
6.8671875,682.40641
7.1171875,688.10374
7.3671875,691.88349
7.6171875,687.08167
7.8671875,680.2279
8.1171875,679.75088
8.3671875,687.58526
8.6171875,697.94168
8.8671875,704.98126
9.1171875,708.22643
9.3671875,711.02379
9.6171875,716.3587
9.8671875,723.73365
10.117188,731.00619
10.367188,736.34896
10.617188,739.96209
10.867188,742.82645
11.117188,745.96636
11.367188,750.64593
11.617188,758.2146
11.867188,769.66117
12.117188,783.63894
12.367188,797.87119
12.617188,810.11711
12.867188,818.64445
13.117188,822.09953
13.367188,820.047
13.617188,813.38223
13.867188,803.10684
14.117188,790.62392
14.367188,778.40897
14.617188,769.11448
14.867188,765.01762
15.117188,767.1353
15.367188,776.2203
15.617188,791.74619
15.867188,807.26157
16.117188,814.6007
16.367188,806.55354
16.617188,785.94124
16.867188,761.5781
17.117188,741.69893
17.367188,727.16712
17.617188,714.22907
17.867188,700.1655
18.117188,689.6807
18.367188,690.53425
18.617188,706.10383
18.867188,725.52737
19.117188,735.07179
19.367188,727.53954
19.617188,713.4857
19.867188,706.36695
20.117188,713.28404
20.367188,730.64317
20.617188,753.84262
20.867188,779.4968
21.117188,806.18213
21.367188,832.65318
21.617188,857.06581
21.867188,875.08078
22.117188,881.70894
22.367188,872.22217
22.617188,848.8098
22.867188,821.12819
23.117188,799.16995
23.367188,788.94882
23.617188,788.87406
23.867188,796.28141
24.117188,807.74839
24.367188,819.68695
24.617188,828.80941
24.867188,834.39213
25.117188,837.0106
25.367188,837.24253
25.617188,835.37047
25.867188,831.29978
26.117188,824.91147
26.367188,816.37725
26.617188,806.72379
26.867188,797.1341
27.117188,788.83066
27.367188,783.23775
27.617188,781.8441
27.867188,785.75279
28.117188,793.1143
28.367188,800.71465
28.617188,805.55129
28.867188,808.22576
29.117188,812.29323
29.367188,821.33776
29.617188,834.60522
29.867188,844.08035
30.117188,841.056
30.367188,820.1071
30.617188,791.37349
30.867188,769.60426
31.117188,766.88313
31.367188,779.53592
31.617188,798.44537
31.867188,818.12051
32.117188,835.34708
32.367188,846.97092
32.617188,851.76981
32.867188,851.78938
33.117188,849.39093
33.367188,846.52154
33.617188,842.91705
33.867188,837.57842
34.117188,829.62218
34.367188,820.15533
34.617188,811.95835
34.867188,807.83583
35.117188,808.89732
35.367188,813.61606
35.617188,820.46724
35.867188,828.68001
36.117188,837.63791
36.367188,846.56881
36.617188,853.12168
36.867188,854.02675
37.117188,846.05558
37.367188,829.85036
37.617188,812.49785
37.867188,801.69256
38.117188,802.10234
38.367188,809.33991
38.617188,817.3318
38.867188,820.8937
39.117188,820.92476
39.367188,820.87085
39.617188,824.00352
39.867188,830.03802
40.117188,835.46158
40.367188,836.65284
40.617188,832.06542
40.867188,824.92173
41.117188,818.69269
41.367188,815.01972
41.617188,815.04486
41.867188,819.69484
42.117188,827.72758
42.367188,836.64554
42.617188,843.96002
42.867188,848.5643
43.117188,851.45688
43.367188,853.81308
43.617188,856.46714
43.867188,858.53735
44.117188,858.60354
44.367188,855.30213
44.617188,848.6115
44.867188,839.87274
45.117188,830.48781
45.367188,821.86154
45.617188,815.40578
45.867188,812.53344
46.117188,814.23646
46.367188,819.33805
46.617188,825.9651
46.867188,832.32024
47.117188,837.73714
47.367188,842.41661
47.617188,846.57825
47.867188,849.88472
48.117188,850.81937
48.367188,847.71537
48.617188,839.41968
48.867188,828.20883
49.117188,817.76364
49.367188,811.614
49.617188,810.71358
49.867188,813.89401
50.117188,819.92297
50.367188,827.51745
50.617188,835.30909
50.867188,841.92139
51.117188,846.42999
51.367188,850.11912
51.617188,854.94631
51.867188,862.74138
52.117188,872.39414
52.367188,879.85438
52.617188,880.94404
52.867188,872.94758
53.117188,859.42574
53.367188,845.62259
53.617188,836.49734
53.867188,832.9327
54.117188,832.76551
54.367188,833.77014
54.617188,834.72623
54.867188,836.2253
55.117188,839.04868
55.367188,843.68232
55.617188,849.10855
55.867188,853.8324
56.117188,856.39229
56.367188,856.10576
56.617188,853.0734
56.867188,847.43082
57.117188,840.00572
57.367188,833.64985
57.617188,831.58296
57.867188,836.4391
58.117188,846.1945
58.367188,856.60148
58.617188,863.4433
58.867188,865.2483
59.117188,864.83691
59.367188,865.4031
59.617188,869.35524
59.867188,874.40189
60.117188,876.51158
60.367188,871.7374
60.617188,860.23957
60.867188,847.96629
61.117188,841.30174
61.367188,844.65393
61.617188,854.61831
61.867188,865.85997
62.117188,873.21961
62.367188,875.16573
62.617188,873.57935
62.867188,870.47405
63.117188,867.24324
63.367188,863.08639
63.617188,856.71808
63.867188,847.09349
64.117188,836.4103
64.367188,829.19091
64.617188,829.95851
64.867188,839.73795
65.117188,853.82038
65.367188,866.96545
65.617188,874.70407
65.867188,877.62158
66.117188,878.33862
66.367188,879.44939
66.617188,881.46407
66.867188,881.56548
67.117188,876.63861
67.367188,864.47325
67.617188,849.08838
67.867188,837.12516
68.117188,834.98528
68.367188,842.90934
68.617188,854.72061
68.867188,863.94243
69.117188,866.07366
69.367188,863.85087
69.617188,861.66774
69.867188,863.60742
70.117188,868.75895
70.367188,872.18109
70.617188,868.81983
70.867188,856.35608
71.117188,840.51408
71.367188,828.48926
