Time,rri
1.6186523,870.60547
1.8686523,843.17455
2.1186523,813.62189
2.3686523,784.25061
2.6186523,757.36387
2.8686523,735.26481
3.1186523,720.25655
3.3686523,714.38392
3.6186523,718.64623
3.8686523,733.77782
4.1186523,758.22567
4.3686523,782.93349
4.6186523,797.30872
4.8686523,793.3874
5.1186523,778.55524
5.3686523,765.75395
5.6186523,766.3709
5.8686523,780.83875
6.1186523,804.90168
6.3686523,834.21884
6.6186523,863.18493
6.8686523,885.07015
7.1186523,893.10547
7.3686523,882.89515
7.6186523,860.34829
7.8686523,834.1703
8.1186523,812.48025
8.3686523,796.6128
8.6186523,783.54081
8.8686523,770.22712
9.1186523,754.74294
9.3686523,736.11547
9.6186523,713.76031
9.8686523,691.62867
10.118652,676.79181
10.368652,674.12913
10.618652,677.64344
10.868652,678.08783
11.118652,670.69877
11.368652,660.10446
11.618652,651.99909
11.868652,650.34143
12.118652,657.74607
12.368652,674.46549
12.618652,690.40802
12.868652,692.64269
13.118652,676.51283
13.368652,656.37838
13.618652,648.25059
13.868652,652.15258
14.118652,655.33634
14.368652,648.20744
14.618652,636.77444
14.868652,631.13398
15.118652,633.56097
15.368652,637.07439
15.618652,634.97025
15.868652,625.12052
16.118652,607.17834
16.368652,586.91339
16.618652,577.54954
16.868652,585.80029
17.118652,598.47524
17.368652,600.64268
17.618652,595.18141
17.868652,594.99768
18.118652,602.88785
18.368652,605.90108
18.618652,594.02397
18.868652,579.41857
19.118652,580.08182
19.368652,594.59073
19.618652,606.81118
19.868652,607.47964
20.118652,604.24334
20.368652,605.9585
20.618652,611.60922
20.868652,615.3976
21.118652,615.8791
21.368652,618.87488
21.618652,629.9659
21.868652,648.49513
22.118652,671.22002
22.368652,693.78636
22.618652,709.06904
22.868652,709.62095
23.118652,695.42583
23.368652,678.64632
23.618652,671.88979
23.868652,678.11964
24.118652,693.16737
24.368652,712.53878
24.618652,730.67602
24.868652,741.58331
25.118652,740.59872
25.368652,731.19377
25.618652,719.90258
25.868652,712.08193
26.118652,708.101
26.368652,707.01509
26.618652,708.12015
26.868652,711.32307
27.118652,716.61591
27.368652,723.15205
27.618652,728.64367
27.868652,730.72304
28.118652,729.87513
28.368652,730.56376
28.618652,737.44926
28.868652,752.1166
29.118652,772.54855
29.368652,796.51325
29.618652,820.90004
29.868652,841.0311
30.118652,853.18405
30.368652,858.05423
30.618652,857.42853
30.868652,853.19411
31.118652,848.86318
31.368652,849.26614
31.618652,859.26058
31.868652,879.04793
32.118652,896.93984
32.368652,899.37739
32.618652,873.91328
32.868652,825.97763
33.118652,775.4279
33.368652,741.66113
33.618652,728.22955
33.868652,724.87851
34.118652,721.67166
34.368652,718.09582
34.618652,719.8886
34.868652,732.24536
35.118652,755.02261
35.368652,785.47198
35.618652,820.83165
35.868652,858.41001
36.118652,895.57414
36.368652,929.69294
36.618652,958.44935
36.868652,981.64846
37.118652,999.97404
37.368652,1014.1126
37.618652,1024.7451
37.868652,1032.4877
38.118652,1037.9163
38.368652,1041.606
38.618652,1044.0165
38.868652,1042.9999
39.118652,1033.8273
39.368652,1011.6593
39.618652,972.15995
39.868652,921.38102
40.118652,875.14638
40.368652,849.65178
40.618652,854.76943
40.868652,882.60172
41.118652,922.15271
41.368652,962.47296
41.618652,995.72735
41.868652,1019.1055
42.118652,1030.2531
42.368652,1026.8311
42.618652,1009.6043
42.868652,986.20159
43.118652,965.17163
43.368652,954.94368
43.618652,958.54296
43.868652,971.4962
44.118652,988.77776
44.368652,1005.4109
44.618652,1018.603
44.868652,1028.5769
45.118652,1035.7757
45.368652,1040.6425
45.618652,1043.5816
45.868652,1044.6415
46.118652,1043.6806
46.368652,1040.5558
46.618652,1035.2034
46.868652,1028.8427
47.118652,1023.7281
47.368652,1022.1434
47.618652,1026.2663
47.868652,1035.686
48.118652,1047.3239
48.368652,1057.9785
48.618652,1064.452
48.868652,1064.056
49.118652,1055.1344
49.368652,1036.1561
49.618652,1005.6036
49.868652,965.43195
50.118652,925.66547
50.368652,897.47186
50.618652,891.30192
50.868652,907.57669
51.118652,939.33817
51.368652,979.4573
51.618652,1020.9433
51.868652,1058.5887
52.118652,1088.4251
52.368652,1106.5094
52.618652,1108.9138
52.868652,1094.9879
53.118652,1071.4105
53.368652,1045.8542
53.618652,1025.9905
53.868652,1017.1984
54.118652,1017.8394
54.368652,1024.9365
54.618652,1035.5129
54.868652,1046.5595
55.118652,1054.9154
55.368652,1057.3747
55.618652,1050.7317
55.868652,1032.5111
56.118652,1006.4723
56.368652,979.53367
56.618652,958.63811
56.868652,949.36753
57.118652,950.49703
57.368652,958.67819
57.618652,970.57206
57.868652,983.08905
58.118652,993.39804
58.368652,998.67984
58.618652,996.2896
58.868652,987.74242
59.118652,978.79904
59.368652,975.41164
59.618652,983.16147
59.868652,1001.7121
60.118652,1025.9759
60.368652,1050.7355
60.618652,1071.6394
60.868652,1086.2187
61.118652,1092.2525
61.368652,1087.5195
61.618652,1070.6814
61.868652,1045.713
62.118652,1018.5673
62.368652,995.20052
62.618652,980.79994
