Time,rri
1.1665039,719.23828
1.4165039,717.32496
1.6665039,713.94647
1.9165039,709.75996
2.1665039,705.42255
2.4165039,701.59138
2.6665039,698.90203
2.9165039,696.91002
3.1665039,693.60892
3.4165039,686.98213
3.6665039,676.7297
3.9165039,663.89508
4.1665039,649.78716
4.4165039,636.81
4.6665039,627.66533
4.9165039,624.0533
5.1665039,626.43296
5.4165039,635.41623
5.6665039,652.8212
5.9165039,680.8439
6.1665039,718.83153
6.4165039,760.03296
6.6665039,796.91059
6.9165039,823.64063
7.1665039,840.64193
7.4165039,849.75421
7.6665039,852.79497
7.9165039,850.95588
8.1665039,844.73213
8.4165039,834.58314
8.6665039,821.57321
8.9165039,808.48594
9.1665039,798.40828
9.4165039,793.8559
9.6665039,794.47042
9.9165039,798.99164
10.166504,806.15959
10.416504,814.71954
10.666504,823.41965
10.916504,830.98922
11.166504,835.45583
11.416504,833.95501
11.666504,823.56684
11.916504,803.81611
12.166504,781.33594
12.416504,764.04395
12.666504,757.54034
12.916504,759.41567
13.166504,765.53126
13.416504,772.42935
13.666504,779.4898
13.916504,786.83155
14.166504,794.34512
14.416504,800.40539
14.666504,802.7701
14.916504,799.35334
15.166504,790.21596
15.416504,776.96599
15.666504,761.34973
15.916504,747.07012
16.166504,739.5702
16.416504,743.8556
16.666504,757.0479
16.916504,769.97097
17.166504,773.64662
17.416504,768.01457
17.666504,762.11608
17.916504,765.10544
18.166504,777.06545
18.416504,787.56152
18.666504,785.66201
18.916504,768.05767
19.166504,744.6772
19.416504,726.64463
19.666504,718.84661
19.916504,717.24213
20.166504,717.24798
20.416504,717.71499
20.666504,720.98103
20.916504,729.07074
21.166504,736.97969
21.416504,734.28694
21.666504,712.04981
21.916504,679.14762
22.166504,655.50494
22.416504,654.15476
22.666504,664.30172
22.916504,670.35237
23.166504,666.72511
23.416504,661.58775
23.666504,663.00288
23.916504,668.9159
24.166504,671.83553
24.416504,667.21131
24.666504,660.89793
24.916504,660.83956
25.166504,668.67572
25.416504,678.0307
25.666504,682.57881
25.916504,682.12658
26.166504,680.22206
26.416504,679.90686
26.666504,681.74857
26.916504,685.62673
27.166504,690.69108
27.416504,694.58743
27.666504,694.86947
27.916504,691.88105
28.166504,689.16809
28.416504,690.16649
28.666504,695.26646
28.916504,703.01934
29.166504,711.71955
29.416504,718.30998
29.666504,719.24431
29.916504,712.31272
30.166504,700.68558
30.416504,688.87816
30.666504,680.24342
30.916504,675.76479
31.166504,675.98
31.416504,678.29229
31.666504,677.21588
31.916504,668.44028
32.166504,656.38046
32.416504,649.05768
32.666504,650.42886
32.916504,656.0052
33.166504,660.54307
33.416504,663.30304
33.666504,667.07052
33.916504,674.32072
34.166504,685.49516
34.416504,700.39632
34.666504,718.20834
34.916504,736.43655
35.166504,752.30511
35.416504,763.8587
35.666504,771.38324
35.916504,775.54386
36.166504,776.9616
36.416504,775.95195
